Artist,Title,Year,Instrument,Genre,ID,Danceability,Energy,Valence,Tempo,Duration_MS
Dom & Roland,Can't Punish Me,2000,Drums,Electronic / Dance,1TFcgUJ6FG2KhQywmviQAm,0.552,0.998,0.371,174.96,421747.0
A-Sides and DJ Marky,Montpellier,2005,Drums,Electronic / Dance,,,,,,
Twin Atlantic,What Is Light? Where Is Laughter? (Skrillex Remix),2009,Drums,Electronic / Dance,2fULvveEMAgQyBlNxrc1ni,0.442,0.987,0.392,174.063,387107.0
Pearson Sound,Blanked,2010,Drums,Electronic / Dance,6WqZvEowE6CAAq93piITpv,0.781,0.745,0.37,136.003,432553.0
Yuichiro Tsukada,Anthem 4 Pipe Dreams,2006,Drums,Soundtrack,,,,,,
Ficta,Eli (Zabiela's Rave Lizard Remix),2004,Drums,Electronic / Dance,,,,,,
Yuzo Koshiro and Motohiro Kawashima,Jungle Riddims,1996,Drums,Soundtrack,,,,,,
DJ Phantasy and DJ Gemini,Ruff Beats Producing Bass,1992,Drums,Electronic / Dance,,,,,,
Tribe of Issachar,Champion Natty,1997,Drums,Electronic / Dance,,,,,,
Ultra-Sonic,Annihilating Rhythm,1993,Drums,Electronic / Dance,0mrgxrpNQyvrtGk0drFqZY,0.273,0.945,0.268,156.313,442000.0
DJ Krust,DJ,1996,Drums,Electronic / Dance,07aK9enl8FSJirCd0ZDN8Y,0.701,0.978,0.93,164.895,410913.0
EPROM,Brixton,2016,Drums,Electronic / Dance,0hiiRAYYxZxJRnaQwGDl3a,0.565,0.873,0.354,128.364,185625.0
Mokita and Maty Noyes,Goodbye (Breathe Carolina Extended Remix),2017,Drums,Electronic / Dance,,,,,,
Panacea (Drum & Bass),Anti-Funk,1998,Drums,Electronic / Dance,,,,,,
DJ Zinc,Shook Ones (D&B Remix),2002,Drums,Electronic / Dance,,,,,,
Sky Joose,You Want a Ride,1996,Drums,Electronic / Dance,,,,,,
Plug,Drum 'N' Bass for Papa,1996,Drums,Electronic / Dance,,,,,,
DJ Seduction,Hardcore Heaven,1992,Drums,Electronic / Dance,5vd3INVl6TEj2CYgFEKapT,0.735,0.84,0.603,129.671,298907.0
Furries in a Blender,Lockdown,2012,Drums,Electronic / Dance,,,,,,
Euromasters,Oranje Boven (Radio),1993,Drums,Electronic / Dance,,,,,,
DJ Craze and Juju (Electronic Producer),Soulshine,2003,Drums,Electronic / Dance,,,,,,
Source Direct,Approach & Identify,1995,Drums,Electronic / Dance,3Za1MkXmUCG8ihO85KtePD,0.516,0.837,0.149,159.85,390421.0
187 Lockdown,Gunman,1997,Drums,Electronic / Dance,2qG04Yyy0byZt3fTjFZKPm,0.8,0.979,0.818,128.013,381573.0
Alec Empire,Bang Your Head,1996,Drums,Electronic / Dance,1zv4GeT9CZikKEp7bZ9XD4,0.499,0.833,0.214,167.094,294733.0
Shy FX,This Style,1995,Drums,Electronic / Dance,2rYo8S1hlnyx7aH9h87So2,0.605,0.934,0.883,169.868,334129.0
Synkro,Angels,2009,Drums,Electronic / Dance,5k7JUV9Fret8RSlNxy3wLt,0.721,0.717,0.453,140.0,338000.0
Lewi and Chopper,Make Love 2 Me (Mix 2),1995,Drums,Electronic / Dance,,,,,,
Fusion,Love for the World (Remix),1993,Drums,Electronic / Dance,,,,,,
Voodoom,Drums of Damballa,2017,Drums,Electronic / Dance,6oU49uOEkMxhR0HiAmdlpC,0.605,0.903,0.447,89.942,276000.0
Danny Breaks,Step Off,1995,Drums,Electronic / Dance,6B8M7dkkHiaqSauCRc3B24,0.679,0.494,0.764,159.817,403280.0
Ez Sniper,Let It Off,2010,Drums,Electronic / Dance,,,,,,
Majistrate,Open Circuit,1994,Drums,Electronic / Dance,,,,,,
The Invisible Man (2),The Beginning,1993,Drums,Electronic / Dance,,,,,,
Tom and Jerry,Programme 205,1993,Drums,Electronic / Dance,,,,,,
The Underworld,Murder Them,1994,Drums,Electronic / Dance,,,,,,
2-X-Treme,X-Treme Theme,1992,Drums,Electronic / Dance,,,,,,
Berty B and Dillinja,Lion Heart,1994,Drums,Electronic / Dance,,,,,,
Boogie Belgique,Love in Your Eyes,2013,Drums,Other,5DFx4vsSpGjLjjEKRXZyTI,0.73,0.804,0.793,108.993,249011.0
Albertslund Terror Korps,Fuck Jr Pxxxxx,2013,Drums,Electronic / Dance,,,,,,
Venetian Snares,Ultraviolent Junglist,2010,Drums,Electronic / Dance,2Cf3b1nwytgf8KNcUnASXS,0.435,0.997,0.251,100.16,350693.0
Mindless Self Indulgence,It Gets Worse,2013,Drums,Rock / Pop,3eeVoTxvffZVmfJDDbcpSA,0.626,0.98,0.729,150.009,176373.0
Sky Joose,Fist of Fury,1994,Drums,Electronic / Dance,,,,,,
Foul Play,Music Is the Key (Omni Trio Remix),1994,Drums,Electronic / Dance,,,,,,
Amen Andrews,Babylon,2003,Drums,Electronic / Dance,,,,,,
F.X.,She Can't Help It,1993,Drums,Electronic / Dance,,,,,,
Nu:Logic,Everlasting Days,2013,Drums,Electronic / Dance,5aLmykE38UEJpyXVhehQ9e,0.476,0.953,0.553,174.007,295240.0
DJ Mayhem,Inesse,1993,Drums,Electronic / Dance,,,,,,
L Double and Younghead,New Style,1996,Drums,Electronic / Dance,,,,,,
DJ NB,Omnipresence,2017,Drums,Electronic / Dance,6CM4sNoNWvGFRvBk5RdQx5,0.348,0.767,0.38,159.018,194407.0
DJ Weirdo and DJ SIM,Pump That Stupid Bass,1995,Drums,Electronic / Dance,,,,,,
Paris,Ebony,1990,Drums,Hip-Hop / Rap / R&B,7sHyv8HIP39hFDzDekAGuS,0.729,0.948,0.685,109.804,235880.0
Promo (DJ) and Da Vinci,Sing It Louder,1996,Drums,Electronic / Dance,,,,,,
D. Kay,Monolith,2000,Drums,Electronic / Dance,,,,,,
Justice (Tony) and Mercy,Fake Lobsters,1992,Drums,Electronic / Dance,,,,,,
Ceephax Acid Crew,Time Tunnel,2007,Drums,Electronic / Dance,,,,,,
Loxy and DJ Ink,Straight Up Menace,2004,Drums,Electronic / Dance,,,,,,
Mitchie M,アイドルを咲かせ (Idol Wo Sakase),2012,Drums,Rock / Pop,,,,,,
Hardliners,Motherfuckin' Breakbeat,1993,Drums,Electronic / Dance,64xUTKAzhxl5VnI8UfctCs,0.513,0.969,0.0925,164.84,355172.0
D.R.S.,Everyman (DJ Monk Remix),1995,Drums,Electronic / Dance,,,,,,
The Invisible Man (2),Power,1994,Drums,Electronic / Dance,,,,,,
Cloud 9,Gonna Be Alright,1992,Drums,Electronic / Dance,0lxXVMJa9QhHavk95lOgvC,0.679,0.926,0.747,151.837,282693.0
DV-i,Intro / Absolute Flux,2017,Drums,Electronic / Dance,,,,,,
DJ Gunshot,Wheel Up,1994,Drums,Electronic / Dance,7iGjbUYFIp1VNTwqKf3iQg,0.66,0.931,0.804,159.848,240560.0
De Mosselman,The Joker,1997,Drums,Electronic / Dance,,,,,,
Tit 4 Tat,Feel,1994,Drums,Electronic / Dance,,,,,,
Vinylgroover,Time,1997,Drums,Electronic / Dance,5jNsn8US9GfLQHcEvVRdzF,0.431,0.988,0.493,170.073,140036.0
Justin Time,Help Me,1995,Drums,Electronic / Dance,4L7RZgkG0xwu9wucTYkjTX,0.766,0.175,0.704,112.217,51357.0
Krinjah,Big Bad & Heavy,2005,Drums,Electronic / Dance,,,,,,
Freestylers,Over You,2011,Drums,Electronic / Dance,09c2HlhlWtugjGpZ6XeKVC,0.545,0.962,0.503,144.96,361824.0
Dexxtrous & Sudden Def,Infrared?,1994,Drums,Electronic / Dance,,,,,,
Noize MC,Жечь Электричество!,2010,Drums,Rock / Pop,5OBctGQEhGSY67wNuYg0nD,0.355,0.897,0.518,83.728,268267.0
"Michiel ""M.C.A."" Van Den Bos",Foregone Destruction,1999,Drums,Soundtrack,,,,,,
Melanie C,Ga Ga,1999,Drums,Rock / Pop,4JeasmY6el63B3f9AOBzhg,0.531,0.911,0.69,107.993,232427.0
Doorly,Rush,2012,Drums,Electronic / Dance,7130SQYSDlTrLLnvc2sY2U,0.732,0.879,0.334,124.967,341908.0
Tomoya Ohtani,Cool Edge - Day,2009,Drums,Rock / Pop,,,,,,
Nitin Sawhney,Breathing Light,2001,Drums,Electronic / Dance,6DJHZxNmCgHZcOwJidnMA5,0.458,0.685,0.449,88.284,236760.0
Rhamel,Coming Right Outta Brooklyn,1992,Drums,Hip-Hop / Rap / R&B,,,,,,
Masters at Work,Jeep Bonus,1993,Drums,Electronic / Dance,,,,,,
Hideki Okugawa,Psyche Out (Gill Stage),2000,Drums,Soundtrack,,,,,,
Venetian Snares,Epidermis,2003,Drums,Electronic / Dance,4skmrsdXzNOA7A1IMKTIRC,0.382,0.991,0.369,200.086,282493.0
Noise Factory,The Fire,1992,Drums,Electronic / Dance,,,,,,
Strictly Dub,Finer Fings,1994,Drums,Electronic / Dance,,,,,,
Midas,Imperial March (Star Wars Mix),1995,Drums,Electronic / Dance,,,,,,
Annoying Ringtone,Death Race,2007,Multiple Elements,Electronic / Dance,,,,,,
Breakage,Staggered Dub,2005,Drums,Electronic / Dance,2KsV5C1hYTkgPbvKAkzgKl,0.301,0.856,0.258,170.994,440613.0
Keeno,Break the Silence,2014,Drums,Electronic / Dance,2DgBasXmsD1mO8oKgK5ILi,0.452,0.873,0.328,174.937,337966.0
Kitsune²,Taotao Bounce,2009,Drums,Electronic / Dance,,,,,,
Axiom Funk,Jungle Free-Bass,1995,Drums,Electronic / Dance,5irsRIHXMkNjG2zIGhfsHC,0.535,0.503,0.579,160.474,337160.0
Mad Dogs,Out,1994,Drums,Electronic / Dance,6kw0Tw3GNBG0SlLxKAHe4h,0.451,0.801,0.803,132.255,240120.0
Sky Joose,Dig Out the Red,1995,Drums,Electronic / Dance,,,,,,
Dan Le Sac vs Scroobius Pip,Letter From God to Man,2008,Drums,Hip-Hop / Rap / R&B,6xLYJzPWTS135QN4ePM71D,,,,,
Shy FX,Dubplate,1995,Drums,Electronic / Dance,1v8gmONNx2eKOvmbq6h0EP,,,,,
Therapy?,Loose (Photek Remix),1995,Drums,Electronic / Dance,,,,,,
Atlantic Connection,Alliance Amen,2007,Drums,Electronic / Dance,,,,,,
Torchman,Tell Me,1993,Drums,Electronic / Dance,,,,,,
RJ (Jungle Producer),Take Me Higher,1993,Drums,Electronic / Dance,,,,,,
Asend,Can't Hold Back (Back 2 Basics Re-Touch),1995,Drums,Electronic / Dance,,,,,,
System X,Got to Believe,1994,Drums,Electronic / Dance,,,,,,
Artificial Intelligence,There for You (D. Kay Remix),2003,Drums,Electronic / Dance,,,,,,
Sy & Unknown,Moments in Time,1994,Drums,Electronic / Dance,,,,,,
Formula 7 and Easy Bass,Essence,1994,Drums,Electronic / Dance,,,,,,
4 Hero,Talk Around Town,1998,Drums,Electronic / Dance,,,,,,
Neuromancer,Pennywise,1992,Drums,Electronic / Dance,,,,,,
Atari Teenage Riot,Raverbashing,1995,Drums,Electronic / Dance,2Dxysxf0Hbi1cWYFc1cVti,,,,,
J Majik,Your Sound,1995,Drums,Electronic / Dance,3966q1yyr3eacKzhJ0MizQ,,,,,
Ted Poley and Tony Harnell,Lazy Days (Mark Pistel Remix),1998,Drums,Electronic / Dance,,,,,,
Source Direct,The Crane,1996,Drums,Electronic / Dance,1ASF4z8oyNpnUz5E7w2rLQ,,,,,
Demon Boyz,Junglist,1992,Drums,Electronic / Dance,,,,,,
Paradox,Curse of Coincidence,2004,Drums,Electronic / Dance,,,,,,
Omni Trio,Be There,1993,Drums,Electronic / Dance,,,,,,
Nate Harrison,Can I Get an Amen?,2004,Drums,Spoken Word,,,,,,
Hardware,Night Stalker,1993,Drums,Electronic / Dance,,,,,,
Rebecca & Fiona,Hard,2011,Drums,Electronic / Dance,1gt3rQQTL07bMiZkMN2X7P,,,,,
Majistrate,Run It,1994,Drums,Electronic / Dance,,,,,,
DJ NB,Imaginary Skyscapes,2018,Drums,Electronic / Dance,2r4ckP12qxyWT0yOSm9031,,,,,
DJ SS,White (Side A),1995,Drums,Electronic / Dance,,,,,,
Funky Technicians and PHD (P. Henry),Above & Beyond,1996,Drums,Electronic / Dance,,,,,,
M-Jay & Dan Vee,The Sun Always Shines,1995,Multiple Elements,Electronic / Dance,,,,,,
Alex Reece and Wax Doctor,You Got Me,1994,Drums,Electronic / Dance,,,,,,
Hedgehog Affair,Come on Let's Have Some Fun,1991,Drums,Electronic / Dance,,,,,,
Rocco,Generation of Love,2003,Drums,Electronic / Dance,4wl6PMa1cMOoZ974vMkSyD,,,,,
J.D.S.,Higher Love,1995,Drums,Electronic / Dance,0fccuEcTHSUu9VfeuJHWuf,,,,,
L. R.O.C.K.,Let Me Hear Ya Say Yeah,1990,Drums,Hip-Hop / Rap / R&B,,,,,,
Sherlock Dreadlock,Don't Dis,1995,Drums,Electronic / Dance,,,,,,
Doc Scott,Tokyo Dawn,1996,Drums,Electronic / Dance,6rptOwDkD7GcXIBlqP6KCx,,,,,
Plug,Military Jazz,1996,Drums,Electronic / Dance,,,,,,
Renard,Gai Runs at 300km/h,2009,Drums,Electronic / Dance,,,,,,
Dance Conspiracy,Dub War (Chapter 1),1992,Drums,Electronic / Dance,5sc9CDaEgyX1EDztFkS5p2,,,,,
DJ Crystl,Warpdrive,1993,Drums,Electronic / Dance,,,,,,
The Original DJ Excel,Just When You Thought It Was Safe,1991,Drums,Electronic / Dance,,,,,,
Eternal Bass,Militarist,1994,Drums,Electronic / Dance,,,,,,
Swift & Zinc,12 O'Clock Drop,1995,Drums,Electronic / Dance,,,,,,
Lisette Melendez,Goody Goody,1994,Drums,Hip-Hop / Rap / R&B,4cFgJuUu4hkwJLB7bBYqoL,,,,,
New Atlantic,Yes to Satan (Bonus Techno Mix),1991,Drums,Electronic / Dance,,,,,,
Voodoom,Tribesman,2017,Drums,Electronic / Dance,0NG2cLX2iLomTz7Fj6DU5i,,,,,
Tessela,Hackney Parrot (Special Request VIP),2013,Drums,Electronic / Dance,5ITDwXGsb3G0fOQFnN3B8d,,,,,
Vinylgroover,Rainbows,1999,Drums,Electronic / Dance,,,,,,
Sky Joose,Sky Joose Returns,1995,Drums,Electronic / Dance,,,,,,
Björk,"Bachelorette (""The Ice Princess and the Killer Whale"" Remix)",1997,Drums,Electronic / Dance,,,,,,
Mariko Nanba and Tomoya Ohtani,Wave Ocean ~The Inlet~,2006,Drums,Soundtrack,,,,,,
Acetate,Cold Steel Pressure,1998,Drums,Electronic / Dance,2NRUr6EQOHv6vZQnYmcYvI,,,,,
M-Beat,Shuffle,1994,Drums,Electronic / Dance,1O1DqEkx5KzSLUbD7ugvfe,,,,,
Concord Dawn and Ill.Skillz,Unreal,2004,Drums,Electronic / Dance,,,,,,
Ed Rush,I Wanna Stay in the Jungle,1992,Drums,Electronic / Dance,,,,,,
Aquasky and The Ragga Twins,Living Legends,2010,Multiple Elements,Electronic / Dance,,,,,,
Mutt,Rumours,2008,Drums,Electronic / Dance,4Og9gHSmVK5vUlK1PKstAy,,,,,
Plug,Drum N Bass,2012,Drums,Electronic / Dance,3o68NqidXYCPFT3idX4vFw,,,,,
Amon Tobin,Chomp Samba,1997,Drums,Electronic / Dance,1B1Lx3V4ohcqloe64zV6qd,,,,,
Hibrid,Hypnotizin,1990,Drums,Electronic / Dance,,,,,,
Raver's Nature,Somebody Scream,1996,Drums,Electronic / Dance,,,,,,
FFF (2),It Began in Man's Mind,2016,Drums,Electronic / Dance,,,,,,
Law & Auder,Bust the New Jam,1995,Drums,Electronic / Dance,,,,,,
DJ Seduction,Imagination,1995,Drums,Electronic / Dance,7a40npEEqfBiHfEFikzKRj,,,,,
Jimmy J & Cru-L-T,Six Days,1994,Drums,Electronic / Dance,1kbOV6zCHNWMSFtvy6JB8m,,,,,
Brianna Perry,Marilyn Monroe,2012,Multiple Elements,Hip-Hop / Rap / R&B,3I5Qt73Vkln8aupGPJsOpa,,,,,
FrankJavCee,Breakcore,2014,Drums,Electronic / Dance,4u63xNsHuMkvlDvUZDuuGq,,,,,
Seba,Forever,2006,Drums,Electronic / Dance,2zuoLZEHzDbbUCPy6VlbBT,,,,,
The Constructus Corporation,Super Psyche,2002,Drums,Hip-Hop / Rap / R&B,10aGAcO96M98F3BIBN3AnX,,,,,
Machine Girl,Hidden Power (Phase δ),2014,Drums,Electronic / Dance,,,,,,
DJ Trace,Lost Entity,1993,Drums,Electronic / Dance,,,,,,
The Walking Dead,No More Homework,2017,Drums,Electronic / Dance,,,,,,
Law & Auder,Exocist,1995,Drums,Electronic / Dance,,,,,,
"Michiel ""M.C.A."" Van Den Bos",BotPack #9,1999,Drums,Electronic / Dance,,,,,,
Krinjah,Bust Pure Shot,2005,Drums,Electronic / Dance,,,,,,
4 Horsemen of the Apocalypse,Drowning in Her,1993,Drums,Electronic / Dance,,,,,,
Sy & Unknown,Are You Ready,1994,Drums,Electronic / Dance,,,,,,
Bay B Kane,Gangstress,1995,Drums,Electronic / Dance,02MEgnAo4MUw5BguQxjhX9,,,,,
Kemet Crew,The Box Re-Opens,1995,Drums,Electronic / Dance,,,,,,
The Junglites,Voodoo,1994,Drums,Electronic / Dance,,,,,,
Nakatomi,Sing,1996,Drums,Electronic / Dance,1vW6LFJDfew5Tg3FyMfw1R,,,,,
Chase & Status,Lost & Not Found,2013,Drums,Electronic / Dance,5ulWFlVXWeO0Afqf2dyHnY,,,,,
Fallen Angels,Hello Lover,1994,Drums,Electronic / Dance,5g78c7T24Iwcc40WGoUUr1,,,,,
Alain Bashung,Samuel Hall,1998,Drums,Rock / Pop,4r9Ov2UhnQNBv06BaMiv1C,,,,,
Chancho en Piedra,Moscardón,1998,Drums,Rock / Pop,0aMHF0lui5XfAwEixaUoYp,,,,,
DJ Deckstream,Creep,2010,Drums,Jazz / Blues,,,,,,
The Range,Life Like This,2013,Drums,Electronic / Dance,3KYGe6xT4vHDaz5lcpO7co,,,,,
Shy FX,Simple 'Tings,1995,Drums,Electronic / Dance,,,,,,
Vinylgroover,Well Wicked,1997,Drums,Electronic / Dance,,,,,,
Asend,12 O'Clock Drop,1995,Drums,Electronic / Dance,,,,,,
Jack Ruby,Another World,1994,Drums,Electronic / Dance,,,,,,
Hideki Okugawa,Crazy Chili Dog (Urien Stage),2000,Drums,Soundtrack,,,,,,
D-Shake,Tekno Bam (Seismic Overload),1991,Drums,Electronic / Dance,,,,,,
1st Prodject,Right Before,1991,Drums,Electronic / Dance,,,,,,
Lords of Acid,Rough Sex (Beltram Whip Mix),1991,Drums,Electronic / Dance,,,,,,
CJ Bolland,Horse Power,1991,Drums,Electronic / Dance,,,,,,
Sjors & Sjimmy,Wailin' Souls,1995,Drums,Electronic / Dance,,,,,,
Olly Murs,Right Place Right Time,2012,Drums,Rock / Pop,34CvC7QV9kIxl8ocSXO5qU,,,,,
Kosheen,All in My Head,2003,Drums,Electronic / Dance,40Xz0zch9a2zkAy30wUbge,,,,,
Guitar Vader,Magical Girl (Mitaka-Nard-Mix),2001,Drums,Electronic / Dance,,,,,,
Paradox,A Certain Sound,1997,Drums,Electronic / Dance,6ZN7yjwPCZXDS6fl38v1vl,,,,,
Source Direct,Exit 9,1995,Drums,Electronic / Dance,,,,,,
DJ NB,Benzo Brainz,2018,Drums,Electronic / Dance,2dFZx3ceMPxBpBjlqtXNV5,,,,,
Sound Assassins,Imagine,2000,Drums,Electronic / Dance,,,,,,
Sound Assassins,Like a Prayer,1997,Drums,Electronic / Dance,,,,,,
Justin Time,Lose Control,1995,Drums,Electronic / Dance,,,,,,
Midas,More Hits Please,1996,Drums,Electronic / Dance,,,,,,
SKisM,Rave Review (Ak9 Remix),2013,Drums,Electronic / Dance,,,,,,
Party Animals,This Moment (Flamman & Abraxas Radio Mix),2014,Drums,Electronic / Dance,0wz1IRE3GDFCCkgGA9v9vt,,,,,
Plug,A Subtle Blend,1996,Drums,Electronic / Dance,,,,,,
Peshay,Catch It,1993,Drums,Electronic / Dance,,,,,,
Korn,Coming Undone (Stegnation Remix),2006,Drums,Rock / Pop,,,,,,
Chase & Status,NRG,2016,Drums,Electronic / Dance,7joWgNtjq84xBwdcmK0y1p,,,,,
Technical Itch,The Ruckus,2002,Drums,Electronic / Dance,,,,,,
Squarepusher,Boneville Occident,2001,Drums,Electronic / Dance,1Tl6eUqx8SGpSloxUinPYM,,,,,
Technohead,I Wanna Be a Hippy (Dreadlock Holiday),1995,Drums,Electronic / Dance,,,,,,
Charly Lownoise and Mental Theo,Childhood,1996,Drums,Electronic / Dance,6JkmST7DkIugp0AZ0Gw72D,,,,,
Higher Sense,Cold Fresh Air,1994,Drums,Electronic / Dance,,,,,,
Hostyle,Mic Check (Here We Go),1989,Multiple Elements,Hip-Hop / Rap / R&B,,,,,,
Jack Ruby,Ophelia,1994,Drums,Electronic / Dance,,,,,,
DJ Groovy,Shake It (Stunned Guys Mix),1995,Drums,Electronic / Dance,,,,,,
DJ Ham,Most Uplifting (Fresh Slices Mix),1994,Drums,Electronic / Dance,2R95vznoBNIeDMF0f9NHkD,,,,,
Caribou,"If Assholes Could Fly, This Place Would Be an Airport",2006,Drums,Electronic / Dance,3rnuKRchz67XhkR3ncOgl1,,,,,
Midas,Magic Tears,1996,Drums,Electronic / Dance,,,,,,
Depth Charge,Nectar,1992,Multiple Elements,Electronic / Dance,,,,,,
"Ramos, Supreme & Sunset Regime",Crowd Control,1995,Multiple Elements,Electronic / Dance,05snL78K0s6t2Cu9k56Mup,,,,,
KCF and Skella-Ton,Taken to Heart,1991,Drums,Hip-Hop / Rap / R&B,,,,,,
The Garden,Cloak,2015,Drums,Rock / Pop,2sHTdJSeMkM7gzUgXjCSmf,,,,,
Alec Empire,Let the Sun Shine,1992,Drums,Electronic / Dance,0wEwSGb1rgemRL3FEc9z05,,,,,
Fifth Platoon,"Hallelujah, the Fifth Is Here (It's a Demo)",1991,Multiple Elements,Hip-Hop / Rap / R&B,,,,,,
The DCP Organization,Nothing but a Come Up,1993,Drums,Hip-Hop / Rap / R&B,,,,,,
Rude Awakening (Hardcore),Van De Pot Gerukt,2016,Drums,Electronic / Dance,20GcaNwNIB7tL7eYqxMBAl,,,,,
Danny Byrd,Failsafe,2010,Drums,Electronic / Dance,2mPIsh81BpQmQGq0rSD08q,,,,,
Party Animals,Xanadu,2003,Drums,Electronic / Dance,4TC9w2NghhTLTLSgjDkAVF,,,,,
Seba,Car Crash,1998,Drums,Electronic / Dance,,,,,,
Marvellous Cain,Dub Plate Style,1994,Drums,Electronic / Dance,2Mnxw9eWrfwxHpfnsQMZwE,,,,,
Shy FX,Nasty,1995,Drums,Electronic / Dance,,,,,,
65daysofstatic,Wrong Side of the Tracks,2005,Drums,Electronic / Dance,16s8siHXZDDKy6JBXWdl9l,,,,,
Ove Naxx,Anarchy Bomb-Odori,2003,Drums,Electronic / Dance,3taegnZoYigqLcEf6xyUt3,,,,,
Tony Salmonelli,Hey!,1995,Drums,Electronic / Dance,1YmD3WIgDKxsWTFOmhmXjE,,,,,
Wilkinson,Redemption,2013,Drums,Electronic / Dance,2uDjU7JlNacDDt8rqrcvfk,,,,,
Voodoom,The Keeper,2017,Drums,Electronic / Dance,2NPWmWKwDPJtP5AahOTQCm,,,,,
Buzz Fuzz,Summertime (Alright Y'all),1995,Drums,Electronic / Dance,,,,,,
Metrik,Make the Floor Burn,2014,Drums,Electronic / Dance,6YqEF5BsAUd99WOx6ycSB1,,,,,
Alix Perez,Can't You See,2016,Drums,Electronic / Dance,,,,,,
Ilsa Gold,Silke,1993,Drums,Electronic / Dance,6JdSFLI0m4YC7fE31CmE3T,,,,,
Cycheouts,New Rally X 96,1996,Drums,Electronic / Dance,,,,,,
DJ Solo,Darkage,1993,Drums,Electronic / Dance,0yYxCuJQh7ACHwCtKESZFM,,,,,
Ben Sage,Sleepless,2003,Drums,Electronic / Dance,79l4ykebfYH6LhgMitF7v4,,,,,
Tom and Jerry,Papillon Love Song,1993,Drums,Electronic / Dance,,,,,,
24k,People Wake Up,1990,Hook / Riff,Hip-Hop / Rap / R&B,1PRzRVQuhGWDEeiZTKUc1p,,,,,
Paradox,Hologram,2006,Drums,Electronic / Dance,3PbqoAI93D6Xf0pMjsZ5Mh,,,,,
Krome & Time,Ruffneck Scouts,1994,Multiple Elements,Electronic / Dance,,,,,,
Sacred,Do It Together (The Baggy's Mix),1992,Drums,Electronic / Dance,,,,,,
Red Martina,Inhale,2013,Drums,Hip-Hop / Rap / R&B,2EI4O5v2KPpoPFqBdQ0JM8,,,,,
SMD,SMD#2 (Side B),1993,Drums,Electronic / Dance,,,,,,
Vinylgroover,My Guardian Angel,1997,Drums,Electronic / Dance,,,,,,
DJ NB,Tranquality (Lust 4 Life),2017,Drums,Electronic / Dance,52j8GfZvq5DDqGEXIloRje,,,,,
Vinylgroover,So Real,1996,Drums,Electronic / Dance,,,,,,
DJ Die,Nasty,1996,Drums,Electronic / Dance,7hgUAe4QXPpRgKGmXoWrQ0,,,,,
Bizzy B and Pugwash,Only the Strong,1994,Drums,Electronic / Dance,,,,,,
Sickboy,Take Me On,2008,Drums,Electronic / Dance,5u6YBy9UvgKXohzIW1cqph,,,,,
Awolnation,Sail (Borgore Pop the Sweating I'm Sailing Remix),2013,Drums,Electronic / Dance,1TBLtEj87ZuytCHEKtVYBH,,,,,
Scooter,The First Time,1996,Drums,Electronic / Dance,7jN7oZENvnHVzMqro4mmnG,,,,,
Baritone Tiplove,All Hell Iz Breakin' Loose,1991,Drums,Hip-Hop / Rap / R&B,2azclccPyb5e35aeuSjk3J,,,,,
Vinylgroover and Trixxy,John Gotti's Revenge,1999,Drums,Electronic / Dance,,,,,,
Double X-Posure,Ultracore,1993,Drums,Electronic / Dance,,,,,,
Shitmat,The Aomen,2007,Drums,Electronic / Dance,7gsfGgMUOtvFOFkdYjLINI,,,,,
Nookie,Shining in Da Darkness,1993,Drums,Electronic / Dance,6IVnk1sPT3GGFUon7KiKGQ,,,,,
Nazión Sur,Te Tienes Que Joder,1993,Drums,Hip-Hop / Rap / R&B,,,,,,
Masato Arakawa,Forest Memories,1996,Drums,Soundtrack,,,,,,
Rive Gauche,Walking... (Gilles Peterson Remix),2016,Drums,Electronic / Dance,,,,,,
Go Mental,Died in Your Arms Tonight,1996,Drums,Electronic / Dance,,,,,,
Law & Auder,It's Alright,1995,Drums,Electronic / Dance,,,,,,
Law & Auder,Street Knowledge,1995,Drums,Electronic / Dance,,,,,,
Sky Joose,Tales of Darkness (Mix 1),1995,Drums,Electronic / Dance,,,,,,
Sky Joose,Youre the One for Me,1995,Drums,Electronic / Dance,,,,,,
Dom & Roland,Mechanics,1996,Drums,Electronic / Dance,,,,,,
Automation,Espionage,1991,Drums,Electronic / Dance,,,,,,
Out of Order,Stung,1993,Drums,Electronic / Dance,,,,,,
Babylon 5,Yes Yes '95,1995,Drums,Electronic / Dance,,,,,,
The Sentinel,Awakening,1995,Drums,Electronic / Dance,,,,,,
Mirage (Drum & Bass),No Tomorrow,1996,Drums,Electronic / Dance,,,,,,
Mutt,Draw on Me,2007,Drums,Electronic / Dance,5M86ogiYQr2wdkuXgBzo2E,,,,,
Dillon Nathaniel,Like the Groove,2017,Drums,Electronic / Dance,1CSTjNtasqJzzDZOvbcUMt,,,,,
Party Animals,We Like to Party,1997,Drums,Electronic / Dance,1qjKdTuu7VkWEKbXEe8aTP,,,,,
Shy FX,Who Run 'Tings,1995,Drums,Electronic / Dance,,,,,,
DJ Trace,Mutant Revisited,1996,Drums,Electronic / Dance,,,,,,
Charly Lownoise and Mental Theo,Fantasy World (Original Mix),1996,Drums,Electronic / Dance,,,,,,
Venetian Snares,Langside,2003,Drums,Electronic / Dance,154NQm9LaNYv7gTUIgii76,,,,,
Hard to Kill,Pass the Grenade,1992,Drums,Hip-Hop / Rap / R&B,,,,,,
